skill;description;type
IDaaS (Identity as a Service);XaaS;XaaS
ITaaS (IT as a Service);XaaS;XaaS
LaaS (Logging as a Service);XaaS;XaaS
MaaS (Mobile Backend as a Service);XaaS;XaaS
MaaS (Mobility as a Service);XaaS;XaaS
MaaS (Monitoring as a Service);XaaS;XaaS
MaaS (Metal as a Service);XaaS;XaaS
NaaS (Network as a Service);XaaS;XaaS
PaaS (Payments as a Service);XaaS;XaaS
PaaS (Platform as a Service);XaaS;XaaS
RaaS (Recovery as a Service);XaaS;XaaS
RaaS (Robot as a Service);XaaS;XaaS
SaaS (Search as a Service);XaaS;XaaS
SaaS (Security as a Service);XaaS;XaaS
SaaS (Storage as a Service);XaaS;XaaS
TaaS (Transportation as a Service);XaaS;XaaS
UCaaS (Unified Communications as a Service);XaaS;XaaS
SaaS (Software as a Service);XaaS;XaaS
SODA (Service Oriented Device Architecture);Service Oriented;Service Oriented
SOI (Service Oriented Infrastructure);Service Oriented;Service Oriented
SOP (Service Oriented Provisioning);Service Oriented;Service Oriented
SOSE (Service Oriented Software Engineering);Service Oriented;Service Oriented
SODA (Service Oriented Development of Applications);Service Oriented;Service Oriented
SODA (Service Oriented Distributed Applications);Service Oriented;Service Oriented
SOM (Service Oriented Modeling);Service Oriented;Service Oriented
SOT (Service Oriented Transformation);Service Oriented;Service Oriented
HIT (Healthcare Information Technology);Medical Skill;Medical Skill
EMR (Electronic Medical Record);Medical Skill;Medical Skill
Healthcare Management;Medical Skill;Medical Skill
EHR Products;Medical Skill;Medical Skill
Healthcare Experience;Medical Skill;Medical Skill
Hospitals;Medical Skill;Medical Skill
Clinic Experience;Medical Skill;Medical Skill
Receptionist Experience;Medical Skill;Medical Skill
Patient Care;Medical Skill;Medical Skill
Injections;Medical Skill;Medical Skill
Patient Preparation;Medical Skill;Medical Skill
EKG (Electrocardiogram);Medical Skill;Medical Skill
Electronic Medical Records;Medical Skill;Medical Skill
Medical Terminology;Medical Skill;Medical Skill
CPR (Cardiopulmonary Resuscitation);Medical Skill;Medical Skill
Vital Signs Measurement;Medical Skill;Medical Skill
Appointment Setting;Medical Skill;Medical Skill
Bedside Manner;Medical Skill;Medical Skill
Inventory Management;Medical Skill;Medical Skill
Professionalism;Medical Skill;Medical Skill
Medical Devices;Medical Skill;Medical Skill
Resource Management;Medical Skill;Medical Skill
Medicine;Medical Skill;Medical Skill
Patient Safety;Medical Skill;Medical Skill
Radiology;Medical Skill;Medical Skill
Digital Imaging;Medical Skill;Medical Skill
DICOM (Digital Imaging and Communications in Medicine);Medical Skill;Medical Skill
HIM (Health Information Management);Medical Skill;Medical Skill
EMIX (Electronic Medical Information Exchange);Medical Skill;Medical Skill
PHR (Personal Health Record);Medical Skill;Medical Skill
RIS (Radiology Information System);Medical Skill;Medical Skill
CDI (Clinical documentation improvement);Medical Skill;Medical Skill
ZERPRS Zcore;Medical Skill;Medical Skill
ClearHealth;Medical Skill;Medical Skill
CottageMed;Medical Skill;Medical Skill
FreeMED;Medical Skill;Medical Skill
ERPNext;Medical Skill;Medical Skill
GaiaEHR;Medical Skill;Medical Skill
GNUmed;Medical Skill;Medical Skill
GNU Heatlh;Medical Skill;Medical Skill
Hospital OS;Medical Skill;Medical Skill
HOSxP;Medical Skill;Medical Skill
MedinTux;Medical Skill;Medical Skill
OpenEMR;Medical Skill;Medical Skill
Open Dental;Medical Skill;Medical Skill
OpenHospital;Medical Skill;Medical Skill
OpenMRS;Medical Skill;Medical Skill
OSCAR McMaster;Medical Skill;Medical Skill
PopHealth;Medical Skill;Medical Skill
Spinnaker;Medical Skill;Medical Skill
THIRRA;Medical Skill;Medical Skill
Construction Management;Construction Hard Skill;Construction Hard Skill
Construction;Construction Hard Skill;Construction Hard Skill
Contract Management;Construction Hard Skill;Construction Hard Skill
Project Planning;Construction Hard Skill;Construction Hard Skill
Engineering;Construction Hard Skill;Construction Hard Skill
Oil and Gas;Construction Hard Skill;Construction Hard Skill
Commissioning;Construction Hard Skill;Construction Hard Skill
Petroleum;Construction Hard Skill;Construction Hard Skill
Energy;Construction Hard Skill;Construction Hard Skill
Electrical;Construction Hard Skill;Construction Hard Skill
Pipelines;Construction Hard Skill;Construction Hard Skill
Project Engineering;Construction Hard Skill;Construction Hard Skill
Telecommunications;Construction Hard Skill;Construction Hard Skill
Accident Investigation;Construction Hard Skill;Construction Hard Skill
Supervisory Skills;Construction Hard Skill;Construction Hard Skill
Stafety Management Systems;Construction Hard Skill;Construction Hard Skill
Inspection;Construction Hard Skill;Construction Hard Skill
Industrial Safety;Construction Hard Skill;Construction Hard Skill
Project Estimation;Construction Hard Skill;Construction Hard Skill
Contract Neogotiation;Construction Hard Skill;Construction Hard Skill
Procurement;Construction Hard Skill;Construction Hard Skill
BIM (Building Information Modeling);Construction Hard Skill;Construction Hard Skill
Team Building;Construction Hard Skill;Construction Hard Skill
Asset Management;Construction Hard Skill;Construction Hard Skill
Construction Consulting;Construction Hard Skill;Construction Hard Skill
Construction Project Management;Construction Hard Skill;Construction Hard Skill
Renovation;Construction Hard Skill;Construction Hard Skill
Real Estate;Construction Hard Skill;Construction Hard Skill
Subcontracting;Construction Hard Skill;Construction Hard Skill
Change Orders;Construction Hard Skill;Construction Hard Skill
Piping;Construction Hard Skill;Construction Hard Skill
Energy Consercation;Construction Hard Skill;Construction Hard Skill
Gas;Construction Hard Skill;Construction Hard Skill
Risk Management;Construction Hard Skill;Construction Hard Skill
Procore;Construction Hard Skill;Construction Hard Skill
Interior Fit-Out;Construction Hard Skill;Construction Hard Skill
Retail;Construction Hard Skill;Construction Hard Skill
Anagular.js;Programming Language;Programming Language
Vue ;Programming Language;Programming Language
React;Programming Language;Programming Language
Ember;Programming Language;Programming Language
HTML5;Programming Language;Programming Language
ASP.NET MVC;Programming Language;Programming Language
AJAX;Programming Language;Programming Language
JSON;Programming Language;Programming Language
CSS;Programming Language;Programming Language
JQuuery;Programming Language;Programming Language
XML;Programming Language;Programming Language
RESTful;Programming Language;Programming Language
PHP;Programming Language;Programming Language
ABAP;Programming Language;Programming Language
ActionScript;Programming Language;Programming Language
Ada;Programming Language;Programming Language
ALGOL;Programming Language;Programming Language
Alice;Programming Language;Programming Language
ASP.NET;Programming Language;Programming Language
ASP Primer;Programming Language;Programming Language
Awk;Programming Language;Programming Language
BBC Basic;Programming Language;Programming Language
COBOL;Programming Language;Programming Language
Delphi;Programming Language;Programming Language
Fortran;Programming Language;Programming Language
Go;Programming Language;Programming Language
Haskell;Programming Language;Programming Language
HTML (Programming Language;Programming Language;Programming Language
IDL ;Programming Language;Programming Language
Intercal;Programming Language;Programming Language
Javascript;Programming Language;Programming Language
Node.js;Programming Language;Programming Language
Bootstrap;Programming Language;Programming Language
Labview;Programming Language;Programming Language
Lisp;Programming Language;Programming Language
Logo;Programming Language;Programming Language
MetaQuotes ;Programming Language;Programming Language
ML;Programming Language;Programming Language
OCaml;Programming Language;Programming Language
PL/SQL;Programming Language;Programming Language
Pure Data;Programming Language;Programming Language
Ruby on Rails;Programming Language;Programming Language
S-Plus;Programming Language;Programming Language
Scala;Programming Language;Programming Language
Sed;Programming Language;Programming Language
SGML;Programming Language;Programming Language
SMIL;Programming Language;Programming Language
SNOBOL;Programming Language;Programming Language
Stata;Programming Language;Programming Language
Swift;Programming Language;Programming Language
Tcl/Tk;Programming Language;Programming Language
LaTex;Programming Language;Programming Language
Tex;Programming Language;Programming Language
UML;Programming Language;Programming Language
Verilog;Programming Language;Programming Language
VHDL;Programming Language;Programming Language
Visual FoxPro;Programming Language;Programming Language
VRML;Programming Language;Programming Language
XSL;Programming Language;Programming Language
ADO.NET;Programming Language;Programming Language
AI Programming;Programming Language;Programming Language
ASCII;Programming Language;Programming Language
Backbone.js;Programming Language;Programming Language
CGI;Programming Language;Programming Language
Cocoa;Programming Language;Programming Language
Codelighter;Programming Language;Programming Language
XP;Programming Language;Programming Language
GATE Tools;Programming Language;Programming Language
ImageMagick;Programming Language;Programming Language
JSON;Programming Language;Programming Language
Entity Framework;Programming Language;Programming Language
.Net Framework;Programming Language;Programming Language
PL/SQL (Programming Langauge);Programming Language;Programming Language
Cosmos Framework;Programming Language;Programming Language
Spring MVC;Programming Language;Programming Language
Vertias;Programming Language;Programming Language
Veeam;Programming Language;Programming Language
Acronis;Programming Language;Programming Language
Backup and Restore;Programming Language;Programming Language
Backup PC;Programming Language;Programming Language
Carbonite;Programming Language;Programming Language
Macrium Reflect;Programming Language;Programming Language
NetBackup;Programming Language;Programming Language
Cobian Backup;Programming Language;Programming Language
Backblaze;Programming Language;Programming Language
Google Drive;Programming Language;Programming Language
Backup4all;Programming Language;Programming Language
VBA (Visual Basic for Applications);Programming Language;Programming Language
SAS;Programming Language;Programming Language
DHCP (Dynamic Host Configuration Protocol);Protocol;Protocol
BGP (Border Gateway Protocol);Protocol;Protocol
FTP (File Transfer Protocol);Protocol;Protocol
SSH (Secure Shell);Protocol;Protocol
Telnet;Protocol;Protocol
SMTP (Simple Mail Transfer Protocol);Protocol;Protocol
TFTP (Trivial File Transfer Protocol);Protocol;Protocol
HTTP (Hyper Text Transfer Protocol);Protocol;Protocol
POP3 (Post Office Protocol);Protocol;Protocol
NNTP (Network News Transfer Protocol);Protocol;Protocol
NTP (Network Time Protocol);Protocol;Protocol
NetBIOS (Network Basic Input/Output System);Protocol;Protocol
LDAP (Lightweight Directory Access Protocol);Protocol;Protocol
SNMP (Simple Network Management Protocol);Protocol;Protocol
TLS (Transport Layer Security);Protocol;Protocol
RTP (Real-Time Transport Protocol);Protocol;Protocol
HTTPS (Hyper Text Transfer Protocol);Protocol;Protocol
IMAP (Internet Message Access Protocol);Protocol;Protocol
ARP (Address Resolution Protocol);Protocol;Protocol
IRC (Internet Relay Chat);Protocol;Protocol
SLP (Session Location Protocol);Protocol;Protocol
SDP (Session Description Protocol);Protocol;Protocol
RDP (Remote Desktop Protocol);Protocol;Protocol
SMB (Server Message Protocol);Protocol;Protocol
SFTP (Secure File Transfer Protocol);Protocol;Protocol
IGMP (Internet Group Management Protocol);Protocol;Protocol
RAP (Route Access Protocol);Protocol;Protocol
RLP (Resource Location Protocol);Protocol;Protocol
HNSP (Host Name Server Protocol);Protocol;Protocol
ICMP (Internet Control Messages Protocol);Protocol;Protocol
RDAS (Remote Directory Access Protocol);Protocol;Protocol
LPP (Lightweight Presentation Protocol);Protocol;Protocol
RPC (Remote Procedure Call Protocol);Protocol;Protocol
NAT (Network Address Translation);Protocol;Protocol
MADP (Microsoft Active Directory Protocol);Protocol;Protocol
CAP (Calendar Access Protocol);Protocol;Protocol
L2TP (Layer Two Tunneling Protocol);Protocol;Protocol
PPTP (Point to Point Tunneling Protocol);Protocol;Protocol
TCP (Transmission Control Protocol);Protocol;Protocol
IPV4 (Internet Protocol Version 4);Protocol;Protocol
IPV6 (Internet Protocol Version 6);Protocol;Protocol
ECN (Explicit Congestion Notification);Protocol;Protocol
IPsec (Internet Protocol Security);Protocol;Protocol
Wi-Fi Networks;Protocol;Protocol
DSL (Digitial Subscriber Line);Protocol;Protocol
IDSN (Intergrated Services Digital Network);Protocol;Protocol
FDDI (Fiber Distributed Data Interface);Protocol;Protocol
SCTP (Stream Control Transmission Protocol);Protocol;Protocol
IP (Internet Protocol);Protocol;Protocol
IPsec (Internet Protocol Security);Protocol;Protocol
CouchDB;Database;Database
MongoDB;Database;Database
PostgreSQL;Database;Database
Cassandra;Database;Database
Elasticsearch;Database;Database
MariaDB;Database;Database
NoSQL;Database;Database
DBase;Database;Database
Informix;Database;Database
Ingres;Database;Database
InterBase;Database;Database
4th Dimension;Database;Database
Adabas D;Database;Database
Alpha Five;Database;Database
Aster Data;Database;Database
Altibase;Database;Database
CA Datacom;Database;Database
CA IDMS;Database;Database
Clarion;Database;Database
ClickHouse;Database;Database
Clustrix;Database;Database
CSQL;Database;Database
CUBRID;Database;Database
DataEase;Database;Database
Dataphor;Database;Database
Derby;Database;Database
Empress;Database;Database
Exasol;Database;Database
EnterpriseDB;Database;Database
ExtremeDB;Database;Database
Firebird;Database;Database
Frontbase;Database;Database
Google Fusion Tables;Database;Database
Greenplum;Database;Database
GroveSite;Database;Database
H2;Database;Database
Helix;Database;Database
HSQLDB;Database;Database
IBM Lotus Approach;Database;Database
Infobright;Database;Database
InterSystems Cache;Database;Database
Linter;Database;Database
MaxDB;Database;Database
MemSQL;Database;Database
Microsoft Jet Database Engine;Database;Database
Mimer SQL;Database;Database
MonetDB;Database;Database
MSQL;Database;Database
Netezza;Database;Database
NexusDB;Database;Database
NonStop SQL;Database;Database
NuoDB;Database;Database
Omnis Studio;Database;Database
Openbase;Database;Database
OpenLink;Database;Database
OpenOffice Base;Database;Database
Panorama;Database;Database
Paradox;Database;Database
Pervasive PSQL;Database;Database
Polyhedra;Database;Database
Sand CDBMS;Database;Database
SQL Anywhere;Database;Database
SolidDB;Database;Database
SQLBase;Database;Database
SQream DB;Database;Database
Tibero;Database;Database
TimesTen;Database;Database
Trafodion;Database;Database
TxTSQL;Database;Database
Unisys RDMS;Database;Database
UniData;Database;Database
UniVerse;Database;Database
Vectorwise;Database;Database
Vertica;Database;Database
VoltDB;Database;Database
SSIS (SQL Server Integration Services);Database;Database
SSRS (SQL Server Reporting Services);Database;Database
Transact-SQL;Database;Database
ETL (Extract Transform Load);Database;Database
SQL;Database;Database
PL/SQL (Programming Langauge);Database;Database
IBM AIX;Database;Database
IBM Mainframe;Database;Database
InnoDB;Database;Database
NewSQL;Database;Database
SQL/XML;Database;Database
EXIST-DB;Database;Database
Service Now;Ticketing System;Ticketing System
Zendesk;Ticketing System;Ticketing System
Remedy;Ticketing System;Ticketing System
Trellis Desk;Ticketing System;Ticketing System
Open Ticket Request System;Ticketing System;Ticketing System
Redmine;Ticketing System;Ticketing System
Freshdesk;Ticketing System;Ticketing System
Salesforce Service Cloud;Ticketing System;Ticketing System
Zoho Desk;Ticketing System;Ticketing System
Oracle Service Cloud;Ticketing System;Ticketing System
Heat;Ticketing System;Ticketing System
AnyDesk;Ticketing System;Ticketing System
ConnectWise;Ticketing System;Ticketing System
Samanage;Ticketing System;Ticketing System
Incident Monitor;Ticketing System;Ticketing System
Kayako;Ticketing System;Ticketing System
Happyfox;Ticketing System;Ticketing System
Jira Serice Desk;Ticketing System;Ticketing System
LiveAgent;Ticketing System;Ticketing System
Nextiva;Ticketing System;Ticketing System
IBM Service Desk Cloud;Ticketing System;Ticketing System
Mantis;Ticketing System;Ticketing System
AzureDesk;Ticketing System;Ticketing System
Nectar Desk;Ticketing System;Ticketing System
LiveChat;Ticketing System;Ticketing System
MSP Anywhere;Ticketing System;Ticketing System
Dixa;Ticketing System;Ticketing System
ProProfs Help Desk;Ticketing System;Ticketing System
Xsellco Helpdesk;Ticketing System;Ticketing System
Vision Helpdesk;Ticketing System;Ticketing System
TeamSupport;Ticketing System;Ticketing System
Techinline FixMe.IT;Ticketing System;Ticketing System
ManageEngine ServiceDesk;Ticketing System;Ticketing System
Front;Ticketing System;Ticketing System
Freshservice;Ticketing System;Ticketing System
Edesk;Ticketing System;Ticketing System
Hubspot;Ticketing System;Ticketing System
Spoke;Ticketing System;Ticketing System
OSTicket;Ticketing System;Ticketing System
HelpScout;Ticketing System;Ticketing System
Advertising;Marketing Hard Skill;Marketing Hard Skill
Brand Management;Marketing Hard Skill;Marketing Hard Skill
Channel Marketing;Marketing Hard Skill;Marketing Hard Skill
Competitive Analysis;Marketing Hard Skill;Marketing Hard Skill
Copywriting Corporate Identity;Marketing Hard Skill;Marketing Hard Skill
Image Development;Marketing Hard Skill;Marketing Hard Skill
Logo Development;Marketing Hard Skill;Marketing Hard Skill
Market Research & Analysis;Marketing Hard Skill;Marketing Hard Skill
Marketing Communication;Marketing Hard Skill;Marketing Hard Skill
Marketing Plan;Marketing Hard Skill;Marketing Hard Skill
Marketing promotions;Marketing Hard Skill;Marketing Hard Skill
Media Buying;Marketing Hard Skill;Marketing Hard Skill
Evaluation;Marketing Hard Skill;Marketing Hard Skill
Media Relations;Marketing Hard Skill;Marketing Hard Skill
Merchandising;Marketing Hard Skill;Marketing Hard Skill
New Product Development;Marketing Hard Skill;Marketing Hard Skill
Online Marketing;Marketing Hard Skill;Marketing Hard Skill
Packaging;Marketing Hard Skill;Marketing Hard Skill
Pricing;Marketing Hard Skill;Marketing Hard Skill
Product Launch;Marketing Hard Skill;Marketing Hard Skill
Email Marketing;Marketing Hard Skill;Marketing Hard Skill
Social Media Marketing;Marketing Hard Skill;Marketing Hard Skill
Strategy;Marketing Hard Skill;Marketing Hard Skill
Marketing Strategy;Marketing Hard Skill;Marketing Hard Skill
Digital Marketing;Marketing Hard Skill;Marketing Hard Skill
Strategic Planning;Marketing Hard Skill;Marketing Hard Skill
Online Marketing;Marketing Hard Skill;Marketing Hard Skill
Public Speaking;Marketing Hard Skill;Marketing Hard Skill
Social Media;Marketing Hard Skill;Marketing Hard Skill
Sales;Marketing Hard Skill;Marketing Hard Skill
Marketing;Marketing Hard Skill;Marketing Hard Skill
Research;Marketing Hard Skill;Marketing Hard Skill
Public Relations;Marketing Hard Skill;Marketing Hard Skill
Event Planning;Marketing Hard Skill;Marketing Hard Skill
Intergrated Marketing;Marketing Hard Skill;Marketing Hard Skill
Strategic Partnerships;Marketing Hard Skill;Marketing Hard Skill
Product Marketing;Marketing Hard Skill;Marketing Hard Skill
Digital Media;Marketing Hard Skill;Marketing Hard Skill
Social Media Platform Management;Marketing Hard Skill;Marketing Hard Skill
Coordination;Marketing Hard Skill;Marketing Hard Skill
Facebook Management;Marketing Hard Skill;Marketing Hard Skill
Twitter Management;Marketing Hard Skill;Marketing Hard Skill
Instagram Management;Marketing Hard Skill;Marketing Hard Skill
SnapChat Management;Marketing Hard Skill;Marketing Hard Skill
Data Analysis;Marketing Hard Skill;Marketing Hard Skill
Blogging;Marketing Hard Skill;Marketing Hard Skill
Test Automation;Marketing Hard Skill;Marketing Hard Skill
Test Planning;Marketing Hard Skill;Marketing Hard Skill
Team Leadership;Marketing Hard Skill;Marketing Hard Skill
Sales;Marketing Hard Skill;Marketing Hard Skill
Sales Enablement;Marketing Hard Skill;Marketing Hard Skill
Storytelling;Marketing Hard Skill;Marketing Hard Skill
Storyboarding;Marketing Hard Skill;Marketing Hard Skill
Story Writing;Marketing Hard Skill;Marketing Hard Skill
Story Structure;Marketing Hard Skill;Marketing Hard Skill
Story Editing;Marketing Hard Skill;Marketing Hard Skill
SAP Sales and Distribution;Marketing Hard Skill;Marketing Hard Skill
Short Sales;Marketing Hard Skill;Marketing Hard Skill
Sales Management;Marketing Hard Skill;Marketing Hard Skill
Sales Operations;Marketing Hard Skill;Marketing Hard Skill
Direct Sales;Marketing Hard Skill;Marketing Hard Skill
Sales Process;Marketing Hard Skill;Marketing Hard Skill
Pre-Sales;Marketing Hard Skill;Marketing Hard Skill
Retail Sales;Marketing Hard Skill;Marketing Hard Skill
International Sales;Marketing Hard Skill;Marketing Hard Skill
Sales Presentations;Marketing Hard Skill;Marketing Hard Skill
POS (Point of Sales);Marketing Hard Skill;Marketing Hard Skill
Facebook Management;Marketing Hard Skill;Marketing Hard Skill
Twitter Management;Marketing Hard Skill;Marketing Hard Skill
Instagram Management;Marketing Hard Skill;Marketing Hard Skill
SnapChat Management;Marketing Hard Skill;Marketing Hard Skill
Product Marketing;Marketing Hard Skill;Marketing Hard Skill
Digital Media;Marketing Hard Skill;Marketing Hard Skill
Social Media Platform Management;Marketing Hard Skill;Marketing Hard Skill
Product Marketing;Marketing Hard Skill;Marketing Hard Skill
Digital Media;Marketing Hard Skill;Marketing Hard Skill
CRM (Customer Relationship Management);Marketing Hard Skill;Marketing Hard Skill
AI (Artificial Intelligence);Technical;Technical
GCP (Google Cloud Platform);Technical;Technical
TFS (Team Foundation Server);Technical;Technical
STIG (Security Technical Implementation Guides);Technical;Technical
CMIC (Common Mapping Interface Control);Technical;Technical
CMIC (CPU Management Interface Controller);Technical;Technical
CMIC (Configuration Management Information Center);Technical;Technical
TFS (Team Foundation Server);Technical;Technical
SODA (Service Oriented Device Architecture);Technical;Technical
SOI (Service Oriented Infrastructure);Technical;Technical
SOP (Service Oriented Provisioning);Technical;Technical
SOSE (Service Oriented Software Engineering);Technical;Technical
SODA (Service Oriented Development of Applications);Technical;Technical
SODA (Service Oriented Distributed Applications);Technical;Technical
SOM (Service Oriented Modeling);Technical;Technical
SOT (Service Oriented Transformation);Technical;Technical
DCL (Data Control Language);Technical;Technical
DDL (Data Definition Langauge);Technical;Technical
DML (Data Manipulation Language);Technical;Technical
DQL (Data Query Language);Technical;Technical
OQL (Object Query Lanuage);Technical;Technical
DTS (Data Transformation Services);Technical;Technical
RAMS (Reliability Availibility Maintainability Saftey) ;Technical;Technical
MDX (Multidimensional Expressions);Technical;Technical
DBMS (Database Management System);Technical;Technical
CRM (Customer Relationship Management);Technical;Technical
SOA (Service Oriented Architecture);Technical;Technical
VLDB (Very Large Database);Technical;Technical
SSIS (SQL Server Integration Services);Technical;Technical
SSRS (SQL Server Reporting Services);Technical;Technical
EDM (Enterprise Data Management);Technical;Technical
JSP (Java Server Pages);Technical;Technical
Eclipse Modeling Framework;Technical;Technical
MVC (Model View Controller);Technical;Technical
SOA (Service Oriented Architecture);Technical;Technical
EDM (Enterprise Data Management);Technical;Technical
OSI Model (Open Systems Interconnection Model);Technical;Technical
GRE (Generic Routing Encapsulation);Technical;Technical
VXLAN (Virtual Extensible LAN);Technical;Technical
SCTP (Stream Control Transmission Protocol);Technical;Technical
Wi-Fi;Technical;Technical
DSL (Digitial Subscriber Line);Technical;Technical
IDSN (Intergrated Services Digital Network);Technical;Technical
FDDI (Fiber Distributed Data Interface);Technical;Technical
Domain Name System (DNS);Technical;Technical
Internet Protocol Suite (TCP/IP);Technical;Technical
Dynamic Host Configuration Protocol (DHCP);Technical;Technical
Mac Systems;Technical;Technical
System Center Configuration Manager (SCCM);Technical;Technical
Computerized Speech Research Enviorment (CSRE);Technical;Technical
VLBD (Very Large Databases);Technical;Technical
HIT (Healthcare Information Technology);Technical;Technical
Client Server Model;Technical;Technical
IIS (Internet Information Services);Technical;Technical
Active Directory;Technical;Technical
DPM (System Center Data Protection Manager);Technical;Technical
VoIP (Voice Over IP);Technical;Technical
SSO (Single Sign On);Technical;Technical
BIM (Building Information Modeling);Technical;Technical
ITIL Practices;Technical;Technical
Avionics;Technical;Technical
Avionics Design;Technical;Technical
Avionics Intergration;Technical;Technical
AV (Audio Visual Systems);Technical;Technical
Problem Solving;Hard Skill;Hard Skill
Resume;Hard Skill;Hard Skill
Written Communication;Hard Skill;Hard Skill
Multi-Tasking;Hard Skill;Hard Skill
Corperate Credit;Hard Skill;Hard Skill
Bilingual;Hard Skill;Hard Skill
Interpersonal Skills;Hard Skill;Hard Skill
Translation;Hard Skill;Hard Skill
Onboarding;Hard Skill;Hard Skill
HR (Human Resources);Hard Skill;Hard Skill
R&D (Research and Development);Hard Skill;Hard Skill
HRIS (Human Resoucres Information Systems);Hard Skill;Hard Skill
Entity Framework;Hard Skill;Hard Skill
Logo Design;Hard Skill;Hard Skill
Art Direction;Hard Skill;Hard Skill
Typography;Hard Skill;Hard Skill
Branding & Identity;Hard Skill;Hard Skill
Audio Engineering;Hard Skill;Hard Skill
Home Automation;Hard Skill;Hard Skill
AV (Audio Visual Systems);Hard Skill;Hard Skill
Digital Signage;Hard Skill;Hard Skill
Fitness;Hard Skill;Hard Skill
Nutrition;Hard Skill;Hard Skill
HR (Human Resources);Hard Skill;Hard Skill
Onboarding;Hard Skill;Hard Skill
Affordable Housing;Hard Skill;Hard Skill
Ecommerce ;Hard Skill;Hard Skill
Customer Service;Hard Skill;Hard Skill
New Home Sales;Hard Skill;Hard Skill
